"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","151","Invalid userId","Trustcrow","Fri Nov 08 00:22:14 GMT 2024","failed","Fri Nov 08 00:22:14 GMT 2024","","Create Invoice","",""
"","147","Invalid Auth","Trustcrow","Fri Nov 08 00:22:15 GMT 2024","passed","Fri Nov 08 00:22:15 GMT 2024","","Retrieve All Invoices","",""
"","163","Success","Trustcrow","Fri Nov 08 00:22:14 GMT 2024","failed","Fri Nov 08 00:22:14 GMT 2024","","Create Invoice","",""
"","142","No Auth","Trustcrow","Fri Nov 08 00:22:15 GMT 2024","passed","Fri Nov 08 00:22:15 GMT 2024","","Retrieve All Invoices","",""
"","151","Invalid Endpoint","Trustcrow","Fri Nov 08 00:22:11 GMT 2024","passed","Fri Nov 08 00:22:11 GMT 2024","","Register","",""
"","144","Empty email","Trustcrow","Fri Nov 08 00:22:12 GMT 2024","passed","Fri Nov 08 00:22:13 GMT 2024","","Login","",""
"","131","Invalid endpoint","Trustcrow","Fri Nov 08 00:22:15 GMT 2024","failed","Fri Nov 08 00:22:16 GMT 2024","","Invalid Endpoint","",""
"","155","No Auth","Trustcrow","Fri Nov 08 00:22:15 GMT 2024","passed","Fri Nov 08 00:22:15 GMT 2024","","Retrieve Single Invoice","",""
"","653","Wrong Password","Trustcrow","Fri Nov 08 00:22:13 GMT 2024","failed","Fri Nov 08 00:22:14 GMT 2024","","Login","",""
"","165","No Auth","Trustcrow","Fri Nov 08 00:22:14 GMT 2024","passed","Fri Nov 08 00:22:14 GMT 2024","","Create Invoice","",""
"","170","Empty password","Trustcrow","Fri Nov 08 00:22:13 GMT 2024","passed","Fri Nov 08 00:22:13 GMT 2024","","Login","",""
"","183","Success","Trustcrow","Fri Nov 08 00:22:15 GMT 2024","passed","Fri Nov 08 00:22:15 GMT 2024","","Retrieve Single Invoice","",""
"","334","Invalid Auth","Trustcrow","Fri Nov 08 00:22:14 GMT 2024","passed","Fri Nov 08 00:22:14 GMT 2024","","Create Invoice","",""
"","126","Wrong email","Trustcrow","Fri Nov 08 00:22:13 GMT 2024","failed","Fri Nov 08 00:22:13 GMT 2024","","Login","",""
"","137","Empty Name","Trustcrow","Fri Nov 08 00:22:12 GMT 2024","passed","Fri Nov 08 00:22:12 GMT 2024","","Register","",""
"","632","Success","Trustcrow","Fri Nov 08 00:22:11 GMT 2024","passed","Fri Nov 08 00:22:11 GMT 2024","","Register","",""
"","146","Empty Password","Trustcrow","Fri Nov 08 00:22:12 GMT 2024","passed","Fri Nov 08 00:22:12 GMT 2024","","Register","",""
"","277","Success","Trustcrow","Fri Nov 08 00:22:14 GMT 2024","passed","Fri Nov 08 00:22:15 GMT 2024","","Retrieve All Invoices","",""
"","147","Invalid Auth","Trustcrow","Fri Nov 08 00:22:15 GMT 2024","passed","Fri Nov 08 00:22:15 GMT 2024","","Retrieve Single Invoice","",""
"","442","Success","Trustcrow","Fri Nov 08 00:22:12 GMT 2024","passed","Fri Nov 08 00:22:12 GMT 2024","","Login","",""
"","140","Empty Email","Trustcrow","Fri Nov 08 00:22:12 GMT 2024","passed","Fri Nov 08 00:22:12 GMT 2024","","Register","",""
"","151","Existing email","Trustcrow","Fri Nov 08 00:22:11 GMT 2024","passed","Fri Nov 08 00:22:12 GMT 2024","","Register","",""
